consent	1.1_grad_area	1.2_masters_area	1.3_masters_sub_area	1.4_doc_year	1.5_research_subarea	1.6_state_doc	1.7_has_posdoc	1.8_worked_unpaid	1.9_worked_paid	1.10_international_scholarship	1.11_years_international	1.12_SQB_affiliate	1.13_residency	1.14_work_sector	2.1_posdoc_experience	2.2_chage_institution_posdoc	2.3_international_motivation	2.4_institution_posdoc	2.5_posdoc_financing	2.6_posgrad_supervision	2.7_supervision_total	2.8_teaching_exp	2.9_posdoc_satisfaction	2.10_rights_duties_postdocs	3.1_months_worked_postdoc	3.2_institutions_postdoc	3.3_funding_postdoc	3.4_infrastructure_research	3.5_mentoring_experience	3.6_total_supervised	3.7_projects_coordination	3.8_funding_sources_projects	3.9_extension_projects: Number of extension projects coordinated	4.1_current_professor	4.2_current_position	4.3_start_teaching_experience	4.4_support_during_postgrad	4.5_total_months_postdoc	4.6_institutions_postgrad	4.7_funding_postgrad_postdoc	4.8_infrastructure_workplace	4.9_opportunity_research_extension	4.10_bolsist_students	4.11_total_supervised_students	5.1_publications_peer_reviewed	5.2_publications_last_5_years	5.3_publications_first_author	5.4_publications_corresponding_author	5.5_international_collaborations	5.6_patents_deposited	5.7_H_index_scopus	5.8_ethical_standards_workplace	5.9_witnessed_ethical_misconduct	5.10_disagreement_authorship_order	5.11_communication_channels	5.12_long_term_career_plans	5.13_satisfaction_career_plan	5.14_job_search_status	5.15_main_skills_develop	5.16_skills_developed_during_studies	6.1_age_range	6.2_language_proficiency	6.3_marital_status_co-habitation	6.4_children_status	6.5_state_born	6.6_gender_identity	6.7_self_classification	7.1_survey_result_newsletter
Li e concordo em participar da pesquisa	Farmácia, Farmácia-Bioquímica	Química Orgânica	Química Orgânica	2019	Química Medicinal	São Paulo (SP)	Nenhum	Não	Não	Sim, no doutorado	De 6 a 12 meses	Sim, sou associado	Rio Grande do Sul (RS)	Professor Universitário (Setor Público)											Não fiz pós-doutorado	Universidade estadual	"CNPq;Fundações de amparo à pesquisa dos estados (FAPs)"	Parcialmente Satisfeito	"Sim, aluno de iniciação científica;Sim, mestrandos;Sim, doutorandos"	13/nov	2/jan	Fundações de amparo à pesquisa dos estados (FAPs)	Nenhum												15-19	4/jan	4/jan	4/jan	4/jan	Nenhuma	11/ago	Parcialmente	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;Telefone;E-mail;WhatsApp"	No setor público, como professor de Ensino Superior e Pesquisador	Parcialmente satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Equidade e diversidade;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Equidade e diversidade"	33-34	"Português;Inglês"	Solteiro(a)	Não	Paraná (PR)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Engenharia Química	Química Inorgânica	Química Inorgânica	2020	"Fotoquímica;Química Inorgânica"	Santa Catarina (SC)	Nenhum	Não	Não	Sim, no doutorado	Até 6 meses	Não	Santa Catarina (SC)	Pesquisador (Setor Privado)																															9/mai	9/mai	4/jan	Nenhuma	4/jan	Nenhuma	Prefiro não responder	Não se aplica	Sim	Sim, em algumas das minhas publicações	Não se aplica	"No setor privado, como pesquisador;No setor privado, fora da pesquisa"	Satisfeito	Não	"Escrita de projetos;Gerenciamento de projetos;Comunicação e divulgação científica"	"Orientação de alunos/pós-graduandos;Pesquisa interdisciplinar"	35-36	"Português;Inglês"	Coabito(a)	Não	Santa Catarina (SC)	Homem cisgênero	Branco(a)	Não
Li e concordo em participar da pesquisa	Química	Química Orgânica	Química Orgânica	2017	Outros	Paraná (PR)	Sim, um pós-doutorado	Não	Sim, com carteira assinada	Sim, no doutorado	Até 6 meses	Já fui associado (estou inativo)	Santa Catarina (SC)	Pesquisador (Setor Privado)																															25-29	15-19	15-19	4/jan	9/mai	Nenhuma	7/abr	Sim	Não	Sim, em algumas das minhas publicações	"Telefone;E-mail"	No setor privado, como pesquisador	Completamente Satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Liderança e gerenciamento laboratorial;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	33-34	"Português;Inglês;Espanhol"	Casado(a)	Não	Santa Catarina (SC)	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Inorgânica	Química Inorgânica	2016	"Eletroquímica e Eletroanalítica;Química de Materiais"	Paraná (PR)	Sim, um pós-doutorado	Sim, de 6 a 12 meses	Sim, sem carteira assinada	Sim, no doutorado	Até 6 meses	Sim, sou associado	Santa Catarina (SC)	Professor Universitário (Setor Público)											12-24 meses	Universidade federal	"CNPq;Sem remuneração"	Satisfeito	"Sim, aluno de iniciação científica;Sim, mestrandos;Sim, pós-doutorandos"	Acima de 13	2/jan	Fundações de amparo à pesquisa dos estados (FAPs)	Nenhum												15-19	9/mai	9/mai	4/jan	4/jan	2/jan	11/ago	Sim	Sim	Sim, em algumas das minhas publicações	"Presencial;Telefone;E-mail;WhatsApp;Instagram;Webpage;Youtube;Seminários"	"No setor público, como professor de Ensino Superior e Pesquisador;Empreendedor"	Parcialmente satisfeito	Não	"Ensino/Lecionar;Orientação de alunos/pós-graduandos;Pesquisa interdisciplinar;Comunicação e divulgação científica"	"Escrita de artigos científicos;Colaboração e trabalho de equipe;Conduta ética na pesquisa;Produtividade pessoal"	33-34	"Português;Inglês;Francês"	Casado(a)	Não	Rondônia (RO)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Outros	Química Inorgânica	2020	"Catálise;Ensino/Educação em Química"	Alagoas (AL)	Sim, dois pós doutorados	Não	Não	Não	Nenhum	Já fui associado (estou inativo)	Maranhão (MA)	Professor Universitário (Setor Público)											12-24 meses	"Universidade federal;Institutos federais (IFs)"	CAPES	Insatisfeito	Sim, mestrandos	3/jan	Nenhum	Não se aplica	Nenhum												14/out	14/out	9/mai	4/jan	Nenhuma	Nenhuma	0-3	Sim	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	Presencial	Empreendedor	Insatisfeito	Não	"Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Gerenciamento de carreira;Transferência de conhecimento, inovação e empreendedorismo"	"Escrita de artigos científicos;Escrita de projetos;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Produtividade pessoal;Comunicação e divulgação científica"	35-36	"Português;Inglês"	Solteiro(a)	Não	Alagoas (AL)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Ensino em Química	Ensino em Química	2021	Ensino/Educação em Química	Minas Gerais (MG)	Nenhum	Não	Sim, com carteira assinada	Não	Nenhum	Já fui associado (estou inativo)	Rio de Janeiro (RJ)	Professor Universitário (Setor Público)											Não fiz pós-doutorado	Universidade federal	Não realizei pós-doutorado	Completamente satisfeito	"Sim, aluno de iniciação científica;Sim, mestrandos;Sim, doutorandos"	5/mar	2/jan	Fundações públicas universitárias	1												9/mai	4/jan	4/jan	4/jan	Nenhuma	Nenhuma	0-3	Sim	Não	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;E-mail"	No setor público, como professor de Ensino Superior e Pesquisador	Satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Liderança e gerenciamento laboratorial;Comunicação e divulgação científica"	35-36	"Português;Inglês"	Coabito(a)	Não	Minas Gerais (MG)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Fiz doutorado direto	Físico-Química	2014	"Catálise;Físico-Química;Fotoquímica;Química de Materiais;Química Inorgânica;Química Medicinal"	São Paulo (SP)	Sim, dois pós doutorados	Sim, até 6 meses	Não	Sim, no doutorado e pós-doutorado	De 18 a 24 meses	Já fui associado (estou inativo)	Paraná (PR)	Professor Universitário (Setor Público)											12-24 meses	"Universidade federal;Institutos de pesquisa estrangeiros"	CNPq	Completamente insatisfeito	"Sim, aluno de iniciação científica;Sim, mestrandos;Sim, doutorandos"	9/jul	Nenhum	Sem financiamento	Nenhum												Acima de 35	Acima de 35	14/out	Acima de 35	25-29	4/mar	20-23	Sim	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	E-mail	No setor público, como professor de Ensino Superior e Pesquisador	Completamente insatisfeito	Sim, na academia no exterior	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Equidade e diversidade;Rede de contatos;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Equidade e diversidade;Rede de contatos;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	35-36	"Português;Inglês;Espanhol"	Casado(a)	Não	São Paulo (SP)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Outros	Química Analítica	2020	"Alimentos e Bebidas;Química Analítica"	Minas Gerais (MG)	Nenhum	Não	Sim, com carteira assinada	Não	Nenhum	Já fui associado (estou inativo)	Rio de Janeiro (RJ)	Funcionário público mas não pesquisador/professor																															9/mai	9/mai	4/jan	4/jan	Nenhuma	Nenhuma	0-3	Não sei	Sim	Sim, em algumas das minhas publicações	Não se aplica	No setor público, em cargos técnicos e administrativos de nível superior	Parcialmente insatisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Gerenciamento de carreira;Comunicação e divulgação científica"	"Escrita de artigos científicos;Comunicação e divulgação científica"	35-36	"Português;Inglês;Espanhol"	Divorciado(a)	Não	Minas Gerais (MG)	Mulher cisgênera	Branco(a)	Não
Li e concordo em participar da pesquisa	Química	Química Inorgânica	Ciências - Química	2022	"Catálise;Físico-Química"	Rio de Janeiro (RJ)	Nenhum	Sim, acima de 12 meses	Sim, com carteira assinada	Não	Nenhum	Já fui associado (estou inativo)	Fora do Brasil	Setor Privado mas não pesquisador-professor																															4/jan	4/jan	4/jan	4/jan	Nenhuma	Nenhuma	0-3	Não sei	Não	Não, concordo com a ordem de autoria de todas as minhas publicações	"E-mail;WhatsApp"	No setor privado, fora da pesquisa	Insatisfeito	Sim, tanto dentro quanto fora da academia, no Brasil ou no exterior.	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Pesquisa interdisciplinar;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Colaboração e trabalho de equipe;Conduta ética na pesquisa;Comunicação e divulgação científica"	35-36	"Português;Inglês"	Casado(a)	Sim, dois filhos	Rio de Janeiro (RJ)	Homem cisgênero	Pardo(a)	Sim
Li e concordo em participar da pesquisa	Química	Físico-Química	Físico-Química	2017	"Catálise;Eletroquímica e Eletroanalítica;Físico-Química;Fotoquímica;Química Ambiental;Química de Materiais"	São Paulo (SP)	Sim, um pós-doutorado	Não	Não	Sim, no doutorado	Até 6 meses	Sim, sou associado	Rio de Janeiro (RJ)	Professor de Ensino Básico e/ou Técnico/Tecnológico (setor Público)																				Rede Federal (Instituto Federal, CEFET, entre outros)	Professor concursado	Após a pós-graduação	Prefiro não responder	24-36 meses	Universidade federal	"CAPES;CNPq"	Satisfeito	Sim	Sim, de Ensino Médio e Superior	Acima de 6	30-35	20-24	9/mai	9/mai	4/jan	Nenhuma	15/dez	Sim	Não	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;E-mail;Instagram;Webpage"	No setor público, como professor de Ensino Superior e Pesquisador	Satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Equidade e diversidade;Gerenciamento de carreira;Rede de contatos;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Rede de contatos;Produtividade pessoal;Comunicação e divulgação científica"	35-36	"Português;Inglês"	Viúvo(a)	Não	Espírito Santo (ES)	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Analítica	Química Analítica	2020	"Alimentos e Bebidas;Química Ambiental;Química Analítica"	Minas Gerais (MG)	Nenhum	Não	Sim, sem carteira assinada	Não	Nenhum	Já fui associado (estou inativo)	Distrito Federal (DF)	Professor Universitário (Setor Público)											Não fiz pós-doutorado	Universidade federal	Não realizei pós-doutorado	Parcialmente Satisfeito	Sim, aluno de iniciação científica	7/mai	Nenhum	Não se aplica	1												14/out	4/jan	9/mai	4/jan	Nenhuma	Nenhuma	0-3	Parcialmente	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;Telefone;E-mail;WhatsApp"	"No setor público, como professor de Ensino Superior e Pesquisador;No setor público, em cargos técnicos e administrativos de nível superior"	Parcialmente satisfeito	Não	"Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Conduta ética na pesquisa;Produtividade pessoal;Comunicação e divulgação científica"	"Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Comunicação e divulgação científica"	35-36	"Português;Inglês"	Divorciado(a)	Não	Minas Gerais (MG)	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Inorgânica	Química Inorgânica	2019	Química Inorgânica	Rio de Janeiro (RJ)	Sim, um pós-doutorado	Não	Sim, sem carteira assinada	Não	Nenhum	Sim, sou associado	Rio de Janeiro (RJ)	Professor de Ensino Básico e/ou Técnico/Tecnológico (setor Público)																				Rede Federal (Instituto Federal, CEFET, entre outros)	Professor concursado	Após a pós-graduação	Prefiro não responder	36-48 meses	Universidade federal	"CAPES;CNPq;Fundações de amparo à pesquisa dos estados (FAPs)"	Satisfeito	Sim	Sim, de Ensino Médio e Superior	3	9/mai	4/jan	4/jan	Nenhuma	Nenhuma	2/jan	Prefiro não responder	Sim	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;Telefone;E-mail;WhatsApp"	No setor público, como professor de Ensino Superior e Pesquisador	Parcialmente satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Rede de contatos;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Rede de contatos;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	35-36	"Português;Inglês;Espanhol"	Coabito(a)	Não	Rio de Janeiro (RJ)	Mulher cisgênera	Pardo(a)	Sim
Li e concordo em participar da pesquisa	Química	Fiz doutorado direto	Ciências - Química	2016	Fotoquímica	São Paulo (SP)	Sim, dois pós doutorados	Sim, acima de 12 meses	Sim, sem carteira assinada	Sim, no doutorado e pós-doutorado	Acima de 24 meses	Já fui associado (estou inativo)	São Paulo (SP)	Setor Privado mas não pesquisador-professor																															15-19	4/jan	4/jan	Nenhuma	4/jan	Nenhuma	11/ago	Parcialmente	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;Telefone;E-mail;WhatsApp;Webpage;Youtube"	No setor privado, fora da pesquisa	Insatisfeito	Sim, fora da academia	"Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Equidade e diversidade;Gerenciamento de carreira;Rede de contatos;Comunicação e divulgação científica"	"Escrita de artigos científicos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar"	33-34	"Português;Inglês;Espanhol"	Solteiro(a)	Não	São Paulo (SP)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Analítica	Química Analítica	2016	"Eletroquímica e Eletroanalítica;Química Analítica"	São Paulo (SP)	Sim, um pós-doutorado	Não	Não	Sim, no doutorado	De 6 a 12 meses	Sim, sou associado	Goiás (GO)	Professor Universitário (Setor Público)											24-36 meses	Universidade estadual	CAPES	Parcialmente Satisfeito	"Sim, aluno de iniciação científica;Sim, mestrandos;Sim, doutorandos"	11/set	4/fev	Sem financiamento	1												20-24	14/out	9/mai	9/mai	4/jan	Nenhuma	11/ago	Sim	Sim	Sim, em algumas das minhas publicações	"Presencial;E-mail;Instagram;Webinários"	No setor público, como professor de Ensino Superior e Pesquisador	Parcialmente satisfeito	Não	"Escrita de projetos;Ensino/Lecionar;Gerenciamento de carreira;Transferência de conhecimento, inovação e empreendedorismo"	"Escrita de artigos científicos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Conduta ética na pesquisa;Equidade e diversidade;Rede de contatos"	35-36	"Português;Inglês"	Solteiro(a)	Não	São Paulo (SP)	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Fiz doutorado direto	Ciências - Química	2016	"Físico-Química;Química de Materiais;Química Orgânica"	São Paulo (SP)	Nenhum	Sim, até 6 meses	Não	Sim, no doutorado	De 12 a 18 meses	Já fui associado (estou inativo)	São Paulo (SP)	Professor Universitário (Setor Público)											Não fiz pós-doutorado	Universidade estadual	Não realizei pós-doutorado	Nem satisfeito, nem insatisfeito	"Sim, aluno de iniciação científica;Sim, mestrandos;Sim, doutorandos"	Acima de 13	Nenhum	Sem financiamento	Nenhum												4/jan	4/jan	4/jan	4/jan	Nenhuma	Nenhuma	0-3	Não	Não	Sim, em algumas das minhas publicações	"Presencial;Telefone;E-mail"	"No setor público, como professor de Ensino Superior e Pesquisador;Não decidido;Outros"	Insatisfeito	Sim, na academia no exterior	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Gerenciamento de carreira;Rede de contatos;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo"	Orientação de alunos/pós-graduandos	35-36	"Português;Inglês"	Casado(a)	Sim, um filho	São Paulo (SP)	Mulher cisgênera	Preto(a)	Sim
